,Unnamed: 0,Direction,Price,m2,Floor,Room,Description
89,89.0," Piso en calle del Cerro del Monte, 1, El Cañaveral, Madrid ",947€/mes,95 m²,Bajo exterior con ascensor,2 ," DESTINADA A PERSONAS CON DISCAPACIDAD IGUAL O SUPERIOR AL 33%. ACREDITAR.   VIVIENDA DESTINADA A PERSONAS CON DISCAPACIDAD IGUAL O SUPERIOR AL 33%. DEBERAN ACREDITAR MEDIANTE CERTIFICADO O CARNET. Y AHORA ALQUILANDO CON NESTAR, LLÉVATE UN 5% DE DESCUENTO EN IKEA EN EL AMUEBLAMIENTO DE TU NUEVA CASA. Promoción válida para compra superiores a 80€ no incluidos servicios. Te "
90,," Estudio en calle de Santoña, Zofío, Madrid ",675€/mes, sin ascensor,2 horas,29 m²," RESERVAS E INQUIETUDES Para obtener información detallada y reservar en línea, haga clic debajo del mapa en ""Enlace adicional"". TÉRMINOS Y CONDICIONES DE ALOJAMIENTO: - Fecha de disponibilidad: 01/12/2023 - Duración mínima del alquiler: 120 días - Máximo de huéspedes: 1 - Todas las facturas incluid "
91,," Piso en calle de Játiva, 9, Adelfas, Madrid ",1.225€/mes,77 m²,Bajo con ascensor,2 , Urbanización junto metro Pacifico. Vivienda sin amueblar 2 dormitorios. Salón independiente. Cocina amueblada pero SIN ELECTRODOMÉSTICOS. Tendedero. Baño completo. 3 armarios empotrados. Calefacción por gas natural. Piscina. Zona infantil. Pista de padell. Vigilancia 24 horas. Plaza de garaje. 
92,," Estudio en carretera Canillas, 119, Canillas, Madrid ",850€/mes,Planta 6ª exterior con ascensor,2 horas,45 m², El metro más cercano es mar de cristal. Recién amueblado. La vivienda la enseña directamente el portero en horario de 9:30-14:00 y 18:00 a 20:30 h de lunes a viernes la casa dispone de: Portero fisico. 
93,," Ático en calle Gran Vía, Palacio, Madrid ",2.800€/mes,115 m²,Planta 9ª exterior con ascensor,3 ," PLAZA ESPAÑA. Fantástico ÁTICO de 3 dormitorios con Amplia terraza de 25 m2 aprox. Magnificas vistas al Palacio Real. Junto al Hotel RIU, Teatro Coliseun y la nueva tienda de Zara, 2 baños con plato de ducha, uno de ellos en suite. Cocina independiente amueblada y totalmente equipada. Climatización "
94,," Dúplex en Concepción, Madrid ",3.500€/mes,223 m²,Planta 2ª exterior con ascensor,3 ," Duplex amueblado con una terraza espectacular en una urbanización con piscina en una calle muy tranquila en Concepción. Se puede alquilar para menos de 1 año. IMMOMADRID, une équipe française à votre service. DISTRIBUCIÓN: PLANTA PRINCIPAL: entrada con armario y aseo de invitados. Amplio salón con "
95,," Chalet pareado en ronda de Cala Basa, Conde Orgaz-Piovera, Madrid ",5.500€/mes,356 m²,14 oct ,5 ," CHALET CON APARTAMENTO INDEPENDENTE   Colomba Boutique Inmobiliaria, alquila, estupendo chalet pareado SIN AMUEBLAR en Conde Orgaz. El chalet es muy amplio, con jardin y piscina privados, El chalet estará disponible en principios de diciembre. Se alquila sin amueblar pero con cocina equipada con electrodomésticos de alta gama. Las "
96,," Piso en calle jemenuño, 2, Imperial, Madrid ",1.500€/mes,90 m²,Planta 1ª exterior con ascensor,2 ," 90 m² construidos, 70 m² útiles. 2 habitaciones 2 baños CENTRO DE MADRID. URBANIZACION CERRADA CON PISCINA Muy buen estado. Disponibilidad sobre 01/12/2023 aprox. Por traslado de inquilino actual que está hasta esa fecha aprox. Calefacción independiente gas natural Agua caliente independiente gas na "
97,," Piso en calle del General Arrando, 40, Almagro, Madrid ",2.650€/mes,114 m²,Planta 2ª con ascensor,2 , Almagro Una de las mejores zonas de Madrid. Edificio totalmente rehabilitado. Vivienda de 2 dormitorios y 2 baños en suite. Cocina independiente totalmente amueblada y equipada. Armarios empotrados. Aire acondicionado por conductos y sectorizado por estancias. Calefacción por Gas Natural. Vent 
98,," Estudio en calle Industria, Puerta del Ángel, Madrid ",1.100€/mes,Planta 1ª exterior con ascensor,2 horas,50 m²," Vivienda completamente amueblada, wifi y limpieza incluidos. Tratarás directamente con el propietario del edificio. Estaremos permanentemente a tu disposición para que tu hogar sea una experiencia inolvidable. Sin comisiones de agencia, con la tranquilidad de saber que un equipo dedicado estará par "
99,," Piso en Bernabéu-Hispanoamérica, Madrid ",3.000€/mes,162 m²,Planta 1ª exterior con ascensor,4 ," La Inmobiliaria Internacional CPM gestiona este amplio y luminoso piso sin amueblar, de 162 m2 y 4 habitaciones, próximo a la estación de metro Santiago Bernabéu, que consta de los siguientes elementos: Hall de entrada. Una cocina, totalmente equipada, con todos los electrodomésticos incluidos, que "
