ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"61.173.8.108","elite","AS4812","CN","China Telecom (Group)","189","Chinanet SH","4145","socks4","5004","1","2023-10-16T20:43:10.590Z","16","688","4420"
"185.123.235.77","elite","AS49924","IT","ECROM-MAIN","83","N/A","5678","socks4","985","1","2023-10-16T20:43:10.684Z","36","1581","4378"
"94.130.179.24","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","8040","socks4","4001","1","2023-10-16T20:43:10.685Z","96","4143","4321"
"139.162.196.67","elite","AS63949","GB","LINODE-UK","9","Linode, LLC","60586","socks5","5007","1","2023-10-16T20:42:59.787Z","77","3341","4348"
"186.126.120.130","elite","AS7303","AR","Telecom Argentina S.A.","1188","Telecom Personal Bs","1080","socks5","4202","1","2023-10-16T20:42:59.776Z","35","1547","4436"
"114.99.14.184","elite","AS4134","CN","Chinanet","192","Chinanet AH","8004","socks5","4708","1","2023-10-16T20:42:59.776Z","54","2370","4401"
"69.163.165.180","elite","AS26347","US","New Dream Network, LLC","188","New Dream Network, LLC","41610","socks5","3909","1","2023-10-16T20:42:59.695Z","100","4400","4405"
"178.253.201.11","elite","AS9125","RS","Orion Telekom ISP IP Network","85","N/A","9125","socks4","4606","2","2023-10-16T20:42:59.775Z","100","4372","4392"
"195.154.49.91","elite","AS12876","FR","Online SAS","0","N/A","10423","socks5","5106","1","2023-10-16T20:42:59.786Z","100","4468","4468"
"91.230.138.11","elite","AS51200","RU","IPUnnumbered","76","N/A","4145","socks4","4301","82","2023-10-16T20:42:59.693Z","99","4388","4413"
"138.36.199.14","elite","AS264586","BR","Speed Telecomunicacoes","189","Speed Telecomunicacoes","4153","socks4","4503","1","2023-10-16T20:42:48.789Z","99","4379","4442"
